title,feed_name,link,hit_probability,expected_points,recommendation
An Interview with Jeremie Eliahou Ontiveros and Ajey Pandey About Building Power for AI,Stratechery by Ben Thompson,https://stratechery.com/2026/an-interview-with-jeremie-eliahou-ontiveros-and-ajey-pandey-about-building-power-for-ai/,0.4505299999948983,21.59061521159305,Maybe
What Does Xi Think About the Maduro Raid?,RSSOpinion,https://www.wsj.com/opinion/what-does-xi-think-about-the-maduro-raid-china-us-washington-venezuela-5c658011,0.45010899297726403,34.00127444479577,Maybe
Maximum-severity n8n flaw lets randos run your automation server,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/n8n_rce_bug/,0.4491924753770955,20.72985011953916,Maybe
GTMfund has rewritten the distribution playbook for the AI era,TechCrunch,https://techcrunch.com/2026/01/08/gtmfund-has-rewritten-the-distribution-playbook-for-the-ai-era/,0.4483523291092175,23.357712841789073,Maybe
Seasonal Switch 2 sales show significant slowing as annual cycle sunsets,Gaming - Ars Technica,https://arstechnica.com/gaming/2026/01/seasonal-switch-2-sales-show-significant-slowing-as-annual-cycle-sunsets/,0.44686618683124796,35.11904053723647,Maybe
"New comment by jeffwask in ""Bose is open-sourcing its old smart speakers instead of bricking them""",Hacker News: Best Comments,https://news.ycombinator.com/item?id=46542347,0.4464313163953711,24.859316827323557,Maybe
Tokenized Brazilian credit card debt offers 13% yield through BlackOpal's GemStone platform,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/tokenized-brazilian-credit-card-debt-offers-13-yield-through-blackopal-s-gemstone-platform,0.446313425476504,19.775819966737078,Maybe
"It’s Not a Leica, It’s a Lumix",Blog – Hackaday,https://hackaday.com/2026/01/08/its-not-a-leica-its-a-lumix/,0.44466286943251493,30.419949478333006,Maybe
"New comment by dspillett in ""Bose is open-sourcing its old smart speakers instead of bricking them""",Hacker News: Best Comments,https://news.ycombinator.com/item?id=46542580,0.44111852295896115,24.356969814497468,Maybe
ASRock introduces NUC Ultra 300 BOX mini PCs with Intel Panther Lake,Liliputing,https://liliputing.com/asrock-introduces-nuc-ultra-300-box-mini-pcs-with-intel-panther-lake/,0.4364678419330518,46.33912672297883,Maybe
"Texas court blocks Samsung from tracking TV viewing, then vacates order",BleepingComputer,https://www.bleepingcomputer.com/news/security/texas-court-blocks-samsung-from-tracking-tv-viewing-then-vacates-order/,0.4360421792050304,38.40817136403357,Maybe
I watched LG’s new home robot CLOid do laundry but I have questions,TechCrunch,https://techcrunch.com/2026/01/08/i-watched-lgs-new-home-robot-cloid-do-laundry-but-i-have-questions/,0.43458854915592043,38.55256403347592,Maybe
Is Inflammation the Key to Women’s Heart Health?,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/smurf-less-inflamed-inflammation-key-womens-heart-health-2026a10000lu?src=rss,0.43267302959346565,29.65561497390247,Maybe
JPMorgan says the crypto selloff may be nearing a bottom as ETF outflows ease,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/jpmorgan-says-the-crypto-selloff-may-be-nearing-a-bottom-as-etf-outflows-ease,0.4296509003796702,33.245907718363405,Maybe
It Profits Us to Replace the U.S. Welfare State,RSSOpinion,https://www.wsj.com/opinion/it-profits-us-to-replace-the-u-s-welfare-state-nonprofits-50d52196,0.4249697437421931,35.710907733941575,Maybe
"Gmail debuts a personalized AI Inbox, AI Overviews in search, and more",TechCrunch,https://techcrunch.com/2026/01/08/gmail-debuts-a-personalized-ai-inbox-ai-overviews-in-search-and-more/,0.42472197333869677,25.735906675710137,Maybe
Inside Doctronic's experiment to allow AI to refill prescriptions,Endpoints News,https://endpoints.news/inside-doctronics-experiment-to-allow-ai-to-refill-prescriptions/,0.4227576375786311,23.436495464329735,Maybe
OpenAI to acquire the team behind executive coaching AI tool Convogo,TechCrunch,https://techcrunch.com/2026/01/08/openai-to-acquire-the-team-behind-executive-coaching-ai-tool-convogo/,0.41971312501826386,22.870370860781218,Maybe
"Weight Regain, Health Benefit Loss Rapid When GLP-1s Stopped",Medscape Medical News Headlines,https://www.medscape.com/viewarticle/weight-regain-health-benefit-loss-rapid-when-glp-1s-stopped-2026a10000kr?src=rss,0.4184818983607424,27.111766486657842,Maybe
Ultimate camouflage tech mimics octopus in scientific first,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/camouflage_tech_mimics_octopus/,0.41709624302829806,31.39411133983163,Maybe
A PA’s Guide to Malpractice and Liability,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/protect-your-practice-pas-guide-malpractice-and-liability-2026a10000l5?src=rss,0.41226817019447615,25.625914180755263,Maybe
Exercise Matches Therapy in Easing Depression Symptoms,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/exercise-matches-therapy-easing-depression-symptoms-2026a10000nb?src=rss,0.40974616714721046,26.16928052368786,Maybe
Family History Strongly Tied to Primary Hyperparathyroidism,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/family-history-strongly-tied-primary-hyperparathyroidism-2026a10000l0?src=rss,0.40945348866223596,33.503262732601044,Maybe
Electric Snowblower Clears the Way With Hobby Parts,Blog – Hackaday,https://hackaday.com/2026/01/08/electric-snowblower-clears-the-way-with-hobby-parts/,0.39989689385785226,19.81806399262567,Maybe
Zcash governance clash tanked the token. Here's why it may not be as big as it seems.,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/zcash-governance-dispute-may-not-be-as-big-as-it-seems,0.39872350308761684,33.83259740980112,Maybe
When the vice president blesses the killing,Boing Boing,https://boingboing.net/2026/01/08/when-the-vice-president-blesses-the-killing.html,0.39863644340312754,52.499008278696934,Maybe
New Lilly data suggest Zepbound boosted effect of autoimmune drug,Endpoints News,https://endpoints.news/new-lilly-data-suggest-zepbound-boosted-effect-of-autoimmune-drug/,0.39746061056703796,22.496052922028614,Maybe
Optimism proposes OP token buybacks using 50% of superchain revenue,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/optimism-proposes-op-token-buybacks-using-50-of-superchain-revenue,0.3960707964346102,27.705972462437106,Maybe
"Ethereum scaling network Polygon close to buying bitcoin kiosk firm Coinme, sources say","CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/ethereum-scaling-network-polygon-close-to-buying-bitcoin-kiosk-firm-coinme-sources-say,0.39598348362480285,26.53048843348773,Maybe
"Hands-on with a prototype of Clicks’ Communicator, a new BlackBerry-like smartphone",TechCrunch,https://techcrunch.com/2026/01/08/hands-on-with-a-prototype-of-clicks-communicator-a-new-blackberry-like-smartphone/,0.3939480452893119,19.22784967514412,Maybe
Can Iran Hold the Line Against Its Protesters?,RSSOpinion,https://www.wsj.com/opinion/can-iran-hold-the-line-against-its-protesters-4268c907,0.39372992595835427,29.779843629322148,Maybe
Inside the Battle for the Future of Addiction Medicine,Medscape Medical News Headlines,https://www.medscape.com/s/viewarticle/inside-battle-future-addiction-medicine-2026a10000lr?src=rss,0.3937142480257798,36.79608398375326,Maybe
"FDA staff cuts mostly didn't impact new drug review timelines, analysis finds",Endpoints News,https://endpoints.news/fda-staff-cuts-mostly-didnt-impact-new-drug-review-timelines-analysis-finds/,0.3932534921934014,25.780040156129218,Maybe
Bank of America upgrades Coinbase to 'buy' as exchange moves beyond crypto,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/bank-of-america-upgrades-coinbase-to-buy-as-exchange-moves-beyond-crypto,0.39235635326566876,28.983728790104514,Maybe
Synaffix and Sidewinder Agree to Advance Next-Generation Bispecific ADC Development,GEN – Genetic Engineering and Biotechnology News,https://www.genengnews.com/topics/bioprocessing/synaffix-and-sidewinder-agree-to-advance-next-generation-bispecific-adc-development/,0.392100119021501,21.724688771888967,Maybe
Bybit’s Private Wealth Management delivered 20% returns amid a challenging 2025,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/bybit-s-private-wealth-management-service-delivered-20-returns-despite-challenging-2025,0.38849219320735995,31.277167456311094,Maybe
Where are the pardoned January 6ers now? How many have been charged with child sex crimes?,Boing Boing,https://boingboing.net/2026/01/08/where-are-the-pardoned-january-6ers-now-how-many-have-been-charged-with-child-sex-crimes.html,0.38554753160492344,22.532670574997525,Maybe
Diagonal Therapeutics secures $125M in Series B co-led by Sanofi Ventures,Endpoints News,https://endpoints.news/diagonal-therapeutics-secures-125m-in-oversubscribed-series-b-co-led-by-sanofi-ventures/,0.3811144204821896,31.908918817472852,Maybe
The Senate suddenly remembers war powers,Boing Boing,https://boingboing.net/2026/01/08/the-senate-suddenly-remembers-war-powers.html,0.3766668070983349,25.51602861184484,Maybe
"DHS calls slain US citizen a ""domestic terrorist""",Boing Boing,https://boingboing.net/2026/01/08/dhs-calls-slain-us-citizen-a-domestic-terrorist.html,0.37579340033249936,30.690784993105797,Maybe
VMware ESXi zero-days likely exploited a year before disclosure,BleepingComputer,https://www.bleepingcomputer.com/news/security/vmware-esxi-zero-days-likely-exploited-a-year-before-disclosure/,0.3751603295796114,23.784468234643768,Maybe
"New comment by yoaviram in ""ChatGPT Health""",Hacker News: Best Comments,https://news.ycombinator.com/item?id=46541593,0.37465056648171297,17.06903908623453,Maybe
Anduril’s Palmer Luckey thinks the future of tech is in the past,TechCrunch,https://techcrunch.com/2026/01/08/andurils-palmer-luckey-thinks-the-future-of-tech-is-in-the-past/,0.36966372515221413,37.37939886503589,Maybe
Does Schizophrenia Care Differ by Provider Type?,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/does-schizophrenia-care-differ-provider-type-2026a10000lb?src=rss,0.36717738057035165,25.406680210556203,Maybe
Obesity Affects Reliability of Pediatric Asthma Scores,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/obesity-affects-reliability-pediatric-asthma-scores-2026a10000ld?src=rss,0.36431576512955177,19.775428573966078,Maybe
Diagonal banks another $125M for ‘clustering’ antibody drugs,BioPharma Dive - Latest News,https://www.biopharmadive.com/news/diagonal-series-b-clustering-antibodies-hereditary-hemorrhagic-telangiectasia-pah/809012/,0.3642246647259066,28.578147391973243,Maybe
Missed Ethereum (ETH) at $100? Analysts See 750% Upside in This New Crypto,HackerNoon,https://hackernoon.com/missed-ethereum-eth-at-$100-analysts-see-750percent-upside-in-this-new-crypto?source=rss,0.36420910455024624,14.971905337550696,Maybe
Go-to-market strategies for an AI era,TechCrunch,https://techcrunch.com/video/go-to-market-strategies-for-an-ai-era/,0.3637626481890298,16.270835355178313,Maybe
"Memecoins, DeFi lead declines as caution seeps in: Crypto Daybook Americas","CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/daybook-us/2026/01/08/memecoins-defi-lead-declines-as-caution-seeps-in-crypto-daybook-americas,0.36311598487184316,16.32360770201197,Maybe
Former NIH Director Eric Green to join Illumina as chief medical officer,Endpoints News,https://endpoints.news/former-nih-director-eric-green-to-join-illumina-as-chief-medical-officer/,0.35476549094472176,25.471471778881767,Maybe
Polygon Labs unveils ‘Open Money Stack’ to power borderless stablecoin payments,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/polygon-labs-unveils-open-money-stack-to-power-borderless-stablecoin-payments,0.3518119347510931,25.430498330513675,Maybe
Pay and pray: Nvidia reportedly wants money up front for Chinese H200 orders,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/nvidia_h200_china/,0.35151599879863565,26.444884924604004,Maybe
Sanofi calls rejection of potential MS blockbuster 'unexpected',Endpoints News,https://endpoints.news/sanofi-calls-rejection-of-potential-ms-blockbuster-unexpected/,0.3510112855676155,25.34826133848987,Maybe
ChatGPT Health wants your sensitive medical records so it can play doctor,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/chatgpt_health_access_medical_records/,0.3482162397094181,23.69081642168363,Maybe
Charles Fuchs leaves Roche to steer ADC pipeline at Tubulis shortly after $401M Series C,Endpoints News,https://endpoints.news/charles-fuchs-leaves-roche-to-steer-adc-pipeline-at-tubulis-shortly-after-401m-series-c/,0.347051755862792,32.85861035831413,Maybe
FDA drug and biologic approvals list 2025: Sign-offs dip during agency upheaval,Endpoints News,https://endpoints.news/fda-drug-and-biologic-approvals-list-2025-sign-offs-dip-during-agency-upheaval/,0.3421278759749017,22.795498099302105,Maybe
Bitcoin's market rhymes as identical November lows create familiar January setup,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/bitcoin-s-market-rhymes-as-identical-november-lows-create-familiar-january-setup,0.34013914394206257,18.49775023753119,Maybe
Crypto for Advisors: 2026: Crypto and Beyond,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/coindesk-indices/2026/01/07/crypto-for-advisors-2026-crypto-and-beyond,0.33845712560371133,17.405500268170453,Maybe
Notable & Quotable: Working Families Party,RSSOpinion,https://www.wsj.com/opinion/notable-quotable-working-families-party-55ea7bb4,0.3380583033228432,40.60500460416738,Maybe
"Stand With Crypto advocacy group sees nearly 700,000 new members ahead of 2026 election","CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/policy/2026/01/08/stand-with-crypto-advocacy-group-sees-nearly-700-000-new-members-ahead-of-2026-election,0.33327530941752226,24.249874883425107,Maybe
Deregulating the rapidly evolving digital health industry,Endpoints News,https://endpoints.news/deregulating-the-rapidly-evolving-digital-health-industry/,0.33161547427186483,17.890824403531667,Maybe
"Bitcoin falls below $90,000 as altcoins slide in thin trading: Crypto Markets Today","CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/bitcoin-falls-to-usd90-000-as-altcoins-slide-in-thin-trading-crypto-markets-today,0.3313926777322857,18.511521336782916,Maybe
From “What’s a String?” to Sites of the Day: Nathan Dallaire’s High-End Web Experiences,Codrops,https://tympanus.net/codrops/2026/01/08/from-whats-a-string-to-sites-of-the-day-nathan-dallaires-high-end-web-experiences/,0.3289454123871564,18.133694467456888,Maybe
Acupressure on Outer Ear Improves Sleep in Dyspepsia,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/acupressure-outer-ear-improves-sleep-patients-functional-2026a10000kz?src=rss,0.3283120753261976,27.99754869798066,Maybe
Tim Walz Can’t Stop Fumbling,RSSOpinion,https://www.wsj.com/opinion/tim-walz-cant-stop-fumbling-c6362a0c,0.326349904704845,40.59952229180396,Maybe
Nvidia’s reportedly asking Chinese customers to pay upfront for its H200 AI chips,TechCrunch,https://techcrunch.com/2026/01/08/nvidias-reportedly-asking-chinese-customers-to-pay-upfront-its-for-h200-ai-chips/,0.31941151884795216,18.068821487540838,Maybe
"Bitnomial wins U.S. regulator's nod on prediction markets push, joins growing crowd","CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/policy/2026/01/08/bitnomial-wins-u-s-regulator-s-nod-on-prediction-markets-push-joins-growing-crowd,0.31678699859423126,20.058928253380813,Maybe
How to Fix Dysfunctional Leadership Teams and Why It's Important to Do So,HackerNoon,https://hackernoon.com/how-to-fix-dysfunctional-leadership-teams-and-why-its-important-to-do-so?source=rss,0.3089312346512127,22.222802922467547,Maybe
‘Deeply undervalued’ bitcoin faces continued bear market with no clear upside catalyst,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/bitcoin-may-be-in-for-a-more-boring-but-nevertheless-positive-year,0.3047191798680095,19.271937475488294,Maybe
MS Marks Significant Milestone as ADGM-Licensed Company Service Provider,HackerNoon,https://hackernoon.com/ms-marks-significant-milestone-as-adgm-licensed-company-service-provider?source=rss,0.3044517550728517,22.38932868098241,Maybe
Putting the US AI boom(let) in perspective,FT Alphaville,https://www.ft.com/content/918fbc46-56a9-4225-b2cd-77fb4a532218,0.3012875370653085,19.997884112194086,Maybe
OpenAI launches ChatGPT Health to review your medical records,BBC News,https://www.bbc.com/news/articles/cpqy29d0yjgo?at_medium=RSS&at_campaign=rss,0.30052082143184294,20.657171846366328,Maybe
BNB treasury strategy sparks governance battle at CEA Industries,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/bnb-treasury-strategy-sparks-governance-battle-at-cea-industries,0.29091567107139643,30.13868398374733,Skip
"Digital assets to move from speculation to infrastructure in 2026, B. Riley says","CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/digital-assets-to-move-from-speculation-to-infrastructure-in-2026-b-riley-says,0.2888136566707532,23.34675662161457,Skip
Finger-Prick Blood Test Shows Promise for Early AD Detection,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/finger-prick-blood-test-shows-promise-early-ad-detection-2026a10000lj?src=rss,0.280447376358764,17.781507992283327,Skip
Trump spectrum sale leaves airlines with $4.5B bill for altimeter do-over,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/airlines_face_another_altimeter_upgrade/,0.2801507851210628,32.34505089201122,Skip
Six for 2026: The cyber threats you can’t ignore,BleepingComputer,https://www.bleepingcomputer.com/news/security/six-for-2026-the-cyber-threats-you-cant-ignore/,0.27776799153993154,27.448079596528828,Skip
"Why The ""Missing Middle"" Is The Biggest Untapped Opportunity in 2026",HackerNoon,https://hackernoon.com/why-the-missing-middle-is-the-biggest-untapped-opportunity-in-2026?source=rss,0.27121705245093636,29.351812745209024,Skip
Daily Memo: Details of US Plan for Israeli-Syrian Border,Geopolitical Futures,https://geopoliticalfutures.com/daily-memo-details-of-us-plan-for-israeli-syrian-border/,0.2656192360317816,19.157165007006377,Skip
Some Things I've Learned About Software,Lobsters,https://www.youtube.com/watch?v=RJgDW2AERr8,0.262643959222327,8.819157645189927,Skip
"Elon Musk's Grok AI appears to have made child sexual imagery, says charity",BBC News,https://www.bbc.com/news/articles/cvg1mzlryxeo?at_medium=RSS&at_campaign=rss,0.259587098576229,36.9004584441177,Skip
ISS spacewalk postponed over mystery astronaut malady,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/iss_spacewalk_postponed/,0.2555023009853287,21.759536745322443,Skip
Cisco switches hit by reboot loops due to DNS client bug,BleepingComputer,https://www.bleepingcomputer.com/news/security/cisco-switches-hit-by-reboot-loops-due-to-dns-client-bug/,0.24767975296158937,32.154714562461535,Skip
Former Bolt CEO Maju Kuruvilla’s startup triples to $100M valuation,TechCrunch,https://techcrunch.com/2026/01/08/former-bolt-ceo-maju-kuruvillas-startup-triples-to-100m-valuation/,0.24598125108716284,24.472421978417344,Skip
"JPMorgan expands blockchain goals, plans to build ‘interoperable digital money’","CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/interoperable-digital-money-jpmorgan-expands-blockchain-plans,0.23670315795770097,17.257903744176044,Skip
Internet collapses in Iran amid protests over economic crisis,TechCrunch,https://techcrunch.com/2026/01/08/internet-collapses-in-iran-amid-protests-over-economic-crisis/,0.22718803041815694,20.916955217756385,Skip
"How can we teach about AI in the arts, humanities and sciences? Research seminar series 2026",Raspberry Pi Foundation,https://www.raspberrypi.org/blog/how-can-we-teach-about-ai-in-the-arts-humanities-and-sciences-research-seminar-series-2026/,0.21938730545519516,12.14280312439815,Skip
Snowflake announces its intent to buy observability platform Observe,TechCrunch,https://techcrunch.com/2026/01/08/snowflake-announces-its-intent-to-buy-observability-platform-observe/,0.20683175961310307,17.764439546934405,Skip
The Time Clock Has Stood the Test of Time,Blog – Hackaday,https://hackaday.com/2026/01/08/the-time-clock-has-stood-the-test-of-time/,0.20136120904410823,15.346269029559737,Skip
ChatGPT Health lets you connect medical records to an AI that makes things up,Biz & IT - Ars Technica,https://arstechnica.com/ai/2026/01/chatgpt-health-lets-you-connect-medical-records-to-an-ai-that-makes-things-up/,0.1947796098076036,15.838297902706191,Skip
Secretive Rampart Bioscience closes after pursuing non-viral gene therapy,Endpoints News,https://endpoints.news/secretive-rampart-bioscience-closes-after-pursuing-non-viral-gene-therapy/,0.18591357618200646,14.781741781210945,Skip
ChatGPT falls to new data-pilfering attack as a vicious cycle in AI continues,Biz & IT - Ars Technica,https://arstechnica.com/security/2026/01/chatgpt-falls-to-new-data-pilfering-attack-as-a-vicious-cycle-in-ai-continues/,0.18585091613388513,13.297308077520379,Skip
Linus Torvalds: Stop making an issue out of AI slop in kernel docs – you're not changing anybody's mind,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/linus_versus_llms_ai_slop_docs/,0.1598240342926638,19.08529885069546,Skip
How Orbs Is Bringing Professional Perpetuals Trading to Monad Without Custom Infrastructure,HackerNoon,https://hackernoon.com/how-orbs-is-bringing-professional-perpetuals-trading-to-monad-without-custom-infrastructure?source=rss,0.15881767309675707,12.749864340176748,Skip
Why Pepeto Outshines Trump Coin: Meme Coin Winners and Losers in 2026,HackerNoon,https://hackernoon.com/why-pepeto-outshines-trump-coin-meme-coin-winners-and-losers-in-2026?source=rss,0.13800217977628285,19.326357120093636,Skip
Elon Musk’s lawsuit against OpenAI will face a jury in March,TechCrunch,https://techcrunch.com/2026/01/08/elon-musks-lawsuit-against-openai-will-face-a-jury-in-march/,0.10799861714125306,23.96441914804831,Skip
